@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3335474,F,UNK,,,,
3333502,M,WHI,Y,,17/SP,
3338557,F,WHI,Y,18/FA,,
3350185,M,UNK,,18/FA,,
3352900,M,WHI,,18/FA,,
3342753,F,WHI,,17/FA,,
3324182,M,WHI,,15/FA,,
3352444,M,WHI,,18/FA,,
3327124,F,WHI,,15/FA,,
3349143,F,HIS,,18/FA,,
3347022,F,WHI,Y,18/FA,,
3317605,F,WHI,,,,Y
3324993,F,WHI,,15/FA,,Y
3330299,M,BL,Y,,16/SP,
3324098,M,WHI,,15/FA,,
3333776,F,BL,,16/FA,,
3348725,M,WHI,,18/FA,,
3331803,M,WHI,,16/FA,,
3335910,F,WHI,Y,16/FA,,
3350041,F,WHI,Y,18/FA,,
3351702,F,WHI,,18/FA,,
3343177,M,BL,,17/FA,,
3332532,F,WHI,,16/FA,,Y
3347488,F,WHI,,18/FA,,
3335002,F,HIS,,,16/FA,Y
3338787,F,WHI,,,17/FA,Y
3331742,F,HIS,,16/FA,,Y
3340393,F,WHI,,17/FA,,
3340937,F,WHI,,17/FA,,
3348104,F,WHI,,18/FA,,Y
3337087,M,WHI,Y,16/FA,,
3336096,F,WHI,Y,16/FA,,
3324588,F,WHI,Y,15/FA,,Y
3324389,M,WHI,,15/FA,,
3325237,F,HIS,,15/FA,,
3333210,M,MUL,,16/FA,,
3347219,M,BL,,18/FA,,
3332043,F,WHI,,16/FA,,
3324659,F,HIS,,15/FA,,
3340959,M,WHI,,17/FA,,
3331716,F,WHI,,16/FA,,
3333300,F,HIS,,16/FA,,
3341424,M,WHI,,17/FA,,
3323747,F,HIS,,,,Y
3342631,F,WHI,,17/FA,,
3322585,F,WHI,,15/FA,,Y
3332954,F,WHI,,16/FA,,Y
3350143,M,HIS,,18/FA,,
3334912,M,WHI,,16/FA,,
3341731,F,MUL,Y,17/FA,,Y
3341399,M,BL,,17/FA,,
3348321,M,WHI,,18/FA,,
3340644,M,WHI,,17/FA,,
3350412,M,NRA,Y,18/FA,,
3349849,M,MUL,Y,18/FA,,
3335032,M,BL,,16/FA,,
3331968,F,WHI,Y,16/FA,,Y
3349359,F,WHI,,,18/SP,Y
3333289,F,BL,,16/FA,,
3314004,M,WHI,,,18/FA,
3335689,F,HIS,,16/FA,,Y
3340681,F,WHI,,17/FA,,
3325032,M,WHI,Y,15/FA,,
3351514,M,WHI,,18/FA,,
3348006,F,MUL,,18/FA,,
3352886,M,AS,,,18/FA,
3323200,M,WHI,,15/FA,,
3341373,M,HIS,Y,17/FA,,
3345043,F,WHI,,,17/FA,Y
3333166,F,WHI,Y,16/FA,,
3332898,M,HIS,,16/FA,,
3325797,M,NRA,,15/FA,,
3326972,F,AS,,15/FA,,
3349507,M,UNK,,18/FA,,
3346168,M,WHI,,,17/FA,
3349867,F,WHI,,18/FA,,
3343353,M,WHI,,17/FA,,
3330398,M,WHI,,16/FA,,
3324301,F,WHI,Y,15/FA,,
3331843,M,HIS,,16/FA,,
3326369,F,WHI,,15/FA,,Y
3329725,M,WHI,,15/FA,,
3338561,F,WHI,,17/FA,,
3353179,M,WHI,,,18/FA,
3348637,M,WHI,,18/FA,,
3353238,F,WHI,,,18/FA,
3327038,M,WHI,,15/FA,,Y
3346243,M,WHI,,18/FA,,
3342856,F,WHI,,17/FA,,
3331303,M,HIS,,16/FA,,
3347883,F,AS,Y,18/FA,,Y
3324302,F,WHI,,15/FA,,
3341462,F,WHI,,17/FA,,
3341552,M,WHI,,17/FA,,
3353240,M,WHI,Y,18/FA,,
3333645,F,WHI,,16/FA,,
2901514,F,WHI,,18/FA,,
3348631,M,WHI,Y,18/FA,,
3350082,F,WHI,,18/FA,,Y
3344834,F,WHI,,,18/FA,
2919242,F,WHI,,18/FA,,
3349346,M,WHI,Y,,18/SP,
3339467,F,WHI,,17/FA,,Y
3352902,F,WHI,,,18/FA,
3324502,M,WHI,,15/FA,,
3351440,M,AS,,18/FA,,
3327126,F,WHI,,15/FA,,
3350656,M,WHI,,18/FA,,Y
3340356,F,AS,,17/FA,,
3339321,M,WHI,,17/FA,,
3352547,M,WHI,,18/FA,,
3333230,F,WHI,,16/FA,,Y
3331791,F,WHI,,16/FA,,
3354450,M,WHI,,,18/FA,
3350577,F,WHI,,18/FA,,
3304531,F,WHI,Y,15/FA,,
3323478,M,WHI,,15/FA,,
